0;Ивановская обл., село Шилыково;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
1;Ивановская область, г. Кохма;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
2;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;01.04.2023;;любой
3;Краснодарский край, Новороссийск;Краснодар;01.04.2023;15:00;любой
4;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
5;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
6;Ярославская обл., г. Ростов;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
7;Ярославская обл., Рыбинск;Чебоксары;01.04.2023;;любой
8;Ивановская обл., г Шуя;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
9;Ярославская обл., Рыбинск;Нижегородская обл, г Богородск;01.04.2023;00:00;любой
10;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;01.04.2023;00:00;любой
11;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
12;г Иваново;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
13;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;01.04.2023;20:00;любой
14;Ярославская обл., Рыбинск;г Ульяновск;01.04.2023;00:00;любой
15;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;02.04.2023;22:00;любой
16;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;02.04.2023;22:00;любой
17;г Тула;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
18;г Иваново;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
19;г Рязань;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
20;Тульская обл, г Новомосковск;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
21;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;01.04.2023;14:55;любой
22;Ивановская обл, г Фурманов;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
23;г Иваново;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
24;г Иваново;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
25;г Иваново;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
26;Ивановская обл, г Тейково;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
27;Ивановская обл, Коляновское сельское поселение;Тульская обл, г Ясногорск;01.04.2023;15:00;любой
28;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;01.04.2023;17:00;любой
29;Краснодарский край, Новороссийск;Пятигорск;02.04.2023;15:30;любой
30;Ярославская обл., Рыбинск;Владимирская обл, г Ковров;02.04.2023;00:00;любой
31;Ярославская обл., Рыбинск;Республика Татарстан, Зеленодольский район, село Осиново;02.04.2023;00:00;любой
32;Ивановская область, с. Шилыково;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
33;Ивановская область, г. Шуя;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
34;Ярославская обл., Рыбинск;Чебоксары;02.04.2023;00:00;любой
35;Тульская обл;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
36;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
37;МО, Серпуховский район;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
38;Московская обл, г Серпухов;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
39;г Иваново;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
40;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
41;г Иваново;Тульская обл, г Ясногорск;02.04.2023;;любой
42;г Иваново;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
43;Ивановская обл, Кохма г;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
44;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
45;Ивановская обл, Приволжск;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
46;г Иваново;Тульская обл, г Ясногорск;02.04.2023;16:00;любой
47;г Иваново;Тульская обл, г Ясногорск;02.04.2023;16:00;любой
48;Ивановская обл, Фурманов;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
49;Ивановская обл, Приволжск;Тульская обл, г Ясногорск;03.04.2023;12:00;любой
50;г Иваново;Тульская обл, г Ясногорск;02.04.2023;15:00;любой
51;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;02.04.2023;15:55;любой
52;Краснодарский край, Новороссийск;Пятигорск;02.04.2023;15:00;любой
53;Краснодарский край, Новороссийск;Краснодар;02.04.2023;12:00;любой
54;Тульская обл, г Новомосковск;Тульская обл, г Ясногорск;03.04.2023;10:00;любой
55;г Рязань;Тульская обл, г Ясногорск;02.04.2023;21:00;любой
56;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;03.04.2023;00:00;любой
57;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;03.04.2023;00:00;любой
58;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;03.04.2023;00:00;любой
59;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;03.04.2023;00:00;любой
60;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;04.04.2023;00:00;любой
61;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;04.04.2023;00:00;любой
62;Ярославская обл., Рыбинск;Краснодарский край, Новороссийск;04.04.2023;00:00;любой
63;Ивановская область, г. Кохма;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
64;Ивановская обл, село Чернореченский;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
65;Ивановская обл., г Шуя;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
66;Московская обл, г Серпухов;Тульская обл, г Ясногорск;03.04.2023;14:00;любой
67;Ивановская обл., село Богородское;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
68;г Иваново;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
69;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;06.04.2023;21:00;любой
70;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;06.04.2023;22:00;любой
71;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
72;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
73;Московская обл, г Серпухов;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
74;Тульская обл, г Ясногорск;республика Татарстан, г. Зеленодольск;03.04.2023;23:00;любой
75;Тульская обл, г Ясногорск;республика Татарстан, г. Зеленодольск;05.04.2023;22:00;любой
76;г Иваново;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
77;Калужская обл, г Малоярославец;Тульская обл, г Ясногорск;03.04.2023;14:00;любой
78;Владимирская обл., г. Гусь-Хрустальный;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
79;Тульская обл, г Богородицк;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
80;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;03.04.2023;00:00;любой
81;Краснодарский край, Новороссийск;Пятигорск;04.04.2023;16:55;любой
82;Краснодарский край, Новороссийск;Пятигорск;04.04.2023;16:55;любой
83;Краснодарский край, Новороссийск;Пятигорск;03.04.2023;13:30;любой
84;Респ Адыгея, Адыгейск;Краснодарский край, Новороссийск;03.04.2023;17:00;любой
85;Краснодарский край, Новороссийск;Краснодар;03.04.2023;18:30;любой
86;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;05.04.2023;00:00;любой
87;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;05.04.2023;00:00;любой
88;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
89;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
90;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
91;Ярославская обл., Рыбинск;Владимирская обл, г Ковров;06.04.2023;00:00;любой
92;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;05.04.2023;22:00;любой
93;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;06.04.2023;22:00;любой
94;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;06.04.2023;23:00;любой
95;Ярославская обл., Рыбинск;Республика Татарстан, Зеленодольский район, село Осиново;06.04.2023;00:00;любой
96;Ярославская обл., Рыбинск;Чебоксары;06.04.2023;00:00;любой
97;Ярославская обл., Рыбинск;г Рязань;06.04.2023;00:00;любой
98;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;06.04.2023;00:00;любой
99;г Иваново;Тульская обл, г Ясногорск;03.04.2023;15:00;любой
100;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;06.04.2023;17:55;любой
101;Краснодарский край, Новороссийск;Пятигорск;06.04.2023;12:00;любой
102;Краснодарский край, Новороссийск;Пятигорск;06.04.2023;16:55;любой
103;Ярославская обл., Рыбинск;Курск;08.04.2023;00:00;любой
104;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;07.04.2023;00:00;любой
105;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;08.04.2023;20:00;любой
106;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;07.04.2023;00:00;любой
107;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;08.04.2023;21:00;любой
108;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;07.04.2023;16:15;любой
109;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;07.04.2023;12:00;любой
110;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
111;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
112;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
113;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
114;Ярославская обл., Рыбинск;Чебоксары;07.04.2023;00:00;любой
115;Ярославская обл., г Ростов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
116;г. Рязань;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
117;Ярославская обл., г. Ростов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
118;г Иваново;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
119;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;любой
120;Ивановская обл, пос. Лежнево;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
121;Тульская обл, г Суворов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
122;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;07.04.2023;22:00;любой
123;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;07.04.2023;23:00;любой
124;г Владимир;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
125;Тульская обл;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
126;Московская обл, г Чехов;Тульская обл, г Ясногорск;08.04.2023;10:00;любой
127;Ивановская обл, село Бибирево;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
128;г Тула;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
129;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
130;Ивановская обл, Приволжск;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
131;г Иваново;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
132;Тульская обл, г Ясногорск;Ивановская обл., Фурманов;07.04.2023;23:00;любой
133;г Иваново;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
134;Новочебоксарск;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
135;г Иваново;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
136;г Иваново;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
137;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
138;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
139;г Казань;Ярославская обл., Рыбинск;07.04.2023;00:00;боковой
140;Краснодарский край, Новороссийск;Пятигорск;07.04.2023;13:30;любой
141;Казань;Ярославская обл., Рыбинск;07.04.2023;00:00;боковой
142;Казань г.;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
143;Ярославская обл., Рыбинск;г Калуга;07.04.2023;00:00;любой
144;Ярославская обл., Рыбинск;Республика Татарстан, Зеленодольский район, село Осиново;07.04.2023;00:00;любой
145;Московская обл, г Серпухов;Тульская обл, г Ясногорск;07.04.2023;15:00;любой
146;Краснодарский край, Новороссийск;Пятигорск;07.04.2023;15:00;любой
147;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;07.04.2023;16:00;любой
148;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
149;Ивановская обл., село Богородское;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
150;г Иваново;Ярославская обл., Рыбинск;07.04.2023;00:00;задний
151;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;07.04.2023;17:00;любой
152;РФ, Краснодарский край, Краснодар г;Краснодарский край, Новороссийск;07.04.2023;17:00;любой
153;Ярославская обл., Рыбинск;Чебоксары;07.04.2023;00:00;любой
154;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;08.04.2023;12:00;любой
155;Краснодарский край, Новороссийск;Краснодарский край, Кропоткин г;08.04.2023;12:00;любой
156;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;08.04.2023;22:00;любой
157;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;08.04.2023;00:00;любой
158;Ярославская обл., Рыбинск;Тульская обл, г Ясногорск;08.04.2023;00:00;любой
159;Ярославская обл., Рыбинск;Чебоксары;08.04.2023;00:00;любой
160;Ярославская обл., Рыбинск;Чебоксары;08.04.2023;00:00;любой
161;Ярославская обл., Рыбинск;Чебоксары;08.04.2023;00:00;любой
162;г Рязань;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
163;Тульская обл, г Суворов;Тульская обл, г Ясногорск;08.04.2023;15:00;любой
164;Ярославская обл., Рыбинск;Малоярославец;08.04.2023;00:00;любой
